veg_or_nonveg,Taste,Prep Time,Budget,Type,Output
Vegetarian,Salty,10Mins,Low budget,Snacks,"Aloo Tikki, Pani Puri, Samosa, Dhokla"
Vegetarian,Salty,10Mins,Low budget,Light Meal,"Idli, Upma, Dhokla, Masala Dosa"
Vegetarian,Salty,10Mins,Low budget,Heavy Meal,"Palak Paneer, Chana Masala, Aloo Gobhi, Paneer Butter Masala"
Vegetarian,Salty,10Mins,Avg budget,Snacks,"Vada Pav, Aloo Tikki Chaat, Samosa Chaat, Pav Bhaji"
Vegetarian,Salty,10Mins,Avg budget,Light Meal,"Masala Dosa, Pulao, Aloo Paratha, Upma"
Vegetarian,Salty,10Mins,Avg budget,Heavy Meal,"Palak Paneer, Chana Masala, Aloo Gobhi, Paneer Butter Masala"
Vegetarian,Salty,10Mins,Money does not matter to me,Snacks,"Samosa, Dhokla, Kachori, Burger"
Vegetarian,Salty,10Mins,Money does not matter to me,Light Meal,"Idli Sambar, Pulao, Upma, Masala Dosa"
Vegetarian,Salty,10Mins,Money does not matter to me,Heavy Meal,"Malai Kofta, Baingan Bharta, Shahi Paneer, Kadhai Paneer"
Vegetarian,Salty,1520 Mins,Low budget,Snacks,"Aloo Tikki, Pani Puri, Samosa, Dhokla, Vada Pav"
Vegetarian,Salty,1520 Mins,Low budget,Light Meal,"Idli, Upma, Dhokla, Masala Dosa"
Vegetarian,Salty,1520 Mins,Low budget,Heavy Meal,"Paneer Tikka Masala, Malai Kofta, Paneer Butter Masala, Mixed vegetable korma"
Vegetarian,Salty,1520 Mins,Avg budget,Snacks,"Vada Pav, Aloo Tikki Chaat, Samosa Chaat, Dahi Vada, Dhokla"
Vegetarian,Salty,1520 Mins,Avg budget,Light Meal,"Upma, Aloo Paratha, Pulao, Roti and Sabzi"
Vegetarian,Salty,1520 Mins,Avg budget,Heavy Meal,"Palak Paneer, Aloo Gobhi, Paneer Butter Masala, Chana Masala"
Vegetarian,Salty,1520 Mins,Money does not matter to me,Snacks,"Samosa, Dhokla, Kachori, Aloo Tikki"
Vegetarian,Salty,1520 Mins,Money does not matter to me,Light Meal,"Idli Sambar, Pulao, Upma, Masala Dosa"
Vegetarian,Salty,1520 Mins,Money does not matter to me,Heavy Meal,"Malai Kofta, Baingan Bharta, Shahi Paneer, Kadhai Paneer"
Vegetarian,Salty,30 mins,Low budget,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Salty,30 mins,Low budget,Light Meal,"Idli, Upma, Masala Dosa, Roti and Sabzi"
Vegetarian,Salty,30 mins,Low budget,Heavy Meal,"Roti and Sabzi Upma Aloo Paratha Idli, Curd Rice "
Vegetarian,Salty,30 mins,Avg budget,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Salty,30 mins,Avg budget,Light Meal,"Idli, Upma, Masala Dosa, Roti and Sabzi"
Vegetarian,Salty,30 mins,Avg budget,Heavy Meal,"Upma, Aloo Paratha, Idli"
Vegetarian,Salty,30 mins,Money does not matter to me,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav, Dabeli"
Vegetarian,Salty,30 mins,Money does not matter to me,Light Meal,"Idli, Upma, Masala Dosa, Sada Dosa"
